"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1844788459132903755","Fri Oct 11 17:13:37 +0000 2024","24621","Queen Bee Syndrome Iriana Penyebab Runtuhnya Kerajaan Joko Widodo Seharusnya pencalonan Gibran Rakabuming Raka sebagai Wakil Presiden Indonesia tidak perlu terjadi maka dengan begitu kejayaan Jokowi sebagai Raja Jawa masih bisa bertahan walau tak lagi bermahkotakan jabatan. https://t.co/v43mu85uLP","1844788459132903755","https://pbs.twimg.com/media/GZoBUn1bcAA1WRM.jpg","","in","Pekalongan Barat, Indonesia","254","356","4816","https://x.com/hnirankara/status/1844788459132903755","871058414364876800","hnirankara"
"1845403459639705990","Sun Oct 13 09:57:25 +0000 2024","247","Gibran pulang ke Solo Jumat siang Jokowi malamnya. Minggu siang Gibran jemput PS di Bandara mereka berdua ke rumah Jokowi. Pertemuan tertutup di rumah pribadi Jokowi PS &amp; Gibran?! Info: DPC DPD Gerindra dilarang ikut krn PS dipanggil sebagai Menhan. #Nalar https://t.co/rAlDc3L5nt","1845403459639705990","https://pbs.twimg.com/media/GZwwp0naAAYyDua.jpg","","in","South East Asia","2","77","124","https://x.com/ZAEffendy/status/1845403459639705990","129750289","ZAEffendy"
"1844702952927478105","Fri Oct 11 11:33:51 +0000 2024","3100"," Mau lengser Jokowi masih resmikan Istana di IKN. Gibran saja yg tempati sambil jaga warisan bapaknya Bener kata Rocky Gerung 'Jokowi itu ga pernah tobat' Klo Fufufafa berkantor di IKN itu berarti beneran IKN tempat Jin buang anak spt yg Jokowi bilang Jokowi layak di penjara https://t.co/Jr4I5WO0Xk","1844702952927478105","https://pbs.twimg.com/ext_tw_video_thumb/1844702302445387776/pu/img/PxySjlzIZASBSAbS.jpg","","in","🦉🤍","4","34","944","https://x.com/AnKiiim_/status/1844702952927478105","1603276472814567425","AnKiiim_"
"1843266041868423203","Mon Oct 07 12:24:05 +0000 2024","34329","#TempoThread Dalam momen mendebarkan menjelang pensiun Jokowi terlihat seperti pengacara yang berusaha menghapus bukti agar Gibran tidak terlibat dengan jejak Fufufafa. Sepertinya strategi hilang jejak ini jadi tren baru di Istana A Thread https://t.co/VcAutfXdwy","1843266041868423203","https://pbs.twimg.com/media/GZSUwX7a0AAtp6J.jpg","","in","Indonesia","519","499","9183","https://x.com/tempodotco/status/1843266041868423203","18129942","tempodotco"
"1844620781818671376","Fri Oct 11 06:07:20 +0000 2024","2881","MAHASISWA JAKET KUNING KEPUNG DPR TOLAK GIBRAN DAN ADILI JOKOWI https://t.co/0AdykBoWnv https://t.co/1tmw7xGKNC","1844620781818671376","https://pbs.twimg.com/media/GZlo02QawAEkBqd.jpg","","in","","12","64","1030","https://x.com/herculep638/status/1844620781818671376","1722014606712094720","herculep638"
"1845383815755333885","Sun Oct 13 08:39:21 +0000 2024","36","Jokowi harus mundur dan Gibran wajib mundur karena Gibran Wapres Ilegal ! #JokowiHarusDiadili #JokowiHarusDiadili https://t.co/OVZxyWhsKk","1845383815755333885","https://pbs.twimg.com/media/GZwezPvaAAEMSpM.jpg","","in","","0","2","25","https://x.com/Freed0mland5151/status/1845383815755333885","1630573716169170944","Freed0mland5151"
"1770103136994431034","Tue Mar 19 15:00:49 +0000 2024","4626","2 periode Jokowi 2 periode Prabowo 2 periode Gibran Oke gas oke gas https://t.co/vR4yQFWfj4","1770103136994431034","https://pbs.twimg.com/media/GJCra_taEAAaAQN.jpg","","in","","1109","725","717","https://x.com/ARSIPAJA/status/1770103136994431034","2993008392","ARSIPAJA"
"1845111518070964255","Sat Oct 12 14:37:21 +0000 2024","28","*Keluarga Jokowi meminta Gibran untuk mundur gak salah nih https://t.co/TW3xGz9UUA","1845111518070964255","https://pbs.twimg.com/ext_tw_video_thumb/1845111350655320065/pu/img/nWicfOB5pTdFe9WD.jpg","","in","","1","2","8","https://x.com/MayaA62580468/status/1845111518070964255","1459664329402290177","MayaA62580468"
"1843434379940639221","Mon Oct 07 23:33:00 +0000 2024","1440","Yang katanya Prabowo diundang sebagai Menhan bukan sebagai Presiden terpilih dan Gibran sebagai rakyat biasa bukan wapres terpilih Tapi Jokowi mematahkan semua (BOHONG). Antara Penjilat dan yang dijilat kok ga ada kompak2nya sih? https://t.co/xmKTbkEMip","1843434379940639221","https://pbs.twimg.com/ext_tw_video_thumb/1843434322692558848/pu/img/fAjHIKLG9T_axRij.jpg","","in","DKI Jakarta, Indonesia","18","116","327","https://x.com/JhonSitorus_18/status/1843434379940639221","1102461866129776640","JhonSitorus_18"
"1844190273666240526","Thu Oct 10 01:36:39 +0000 2024","795","// MAHASISWA TANGGAL 14 OKTOBER TURUN TUNTUTANNYA CUMA SATU: ADILI JOKOWI! #FaizalAssegaf // #ILC &gt;&gt; JOKOWI MENGHITUNG HARI GIBRAN DI UJUNG TANDUK. DEMO BESAR PEKAN DEPAN MAU APA?? // SELENGKAPNYA TONTON SEKARANG YOUTUBE ILC https://t.co/N41rgGNcM1 https://t.co/MXy5iYH7jf","1844190273666240526","https://pbs.twimg.com/ext_tw_video_thumb/1844190120796356611/pu/img/d1BHZ-k79blsfHad.jpg","","in","Indonesia","9","49","356","https://x.com/ILCTalkshow/status/1844190273666240526","2421762716","ILCTalkshow"
