cleaning,cleaned_x,predicted_sentiment
moga jokowi gibran beneran kader golkar bikin banteng bawah depan psi golkar kawal gibran smp ri periode negara butuh sosok  tdk bs kendali tum sosok gibran amp ahy,moga jokowi gibran beneran kader golkar bikin banteng bawah depan psi golkar kawal gibran smp periode negara butuh sosok tdk kendali tum sosok gibran amp ahy,negative
emang ga cape nyerang bukti periode laku yamg hasil lengserin makziulkan seret jokowi purna tugas ganti prabowo gibran dah ah lihat raut bahagia aja,emang cape nyerang bukti periode laku yamg hasil lengserin makziulkan seret jokowi purna tugas ganti prabowo gibran dah lihat raut bahagia aja,negative
detikdetik prabowo subianto jemput gibran rakabuming temu presiden jokowi solo,detikdetik prabowo subianto jemput gibran rakabuming temu presiden jokowi solo,negative
yth bpk pres sy henyak baca artikel jk kompas hilir bpk  jg jd narasi utama capres amp tweet ban mantan wakil dgn data ukur  hrs percaya binsar,yth bpk pres henyak baca artikel kompas hilir bpk narasi utama capres amp tweet ban mantan wakil dgn data ukur hrs percaya binsar,negative
gibran baby nepo korban ambisi bapak  langgar uu injak konstitusi putus mk nyata mkmk langgar kode etik berat kpu jongos jokowi  lolos gibran bunyi hukum gibran sah wapres,gibran baby nepo korban ambisi bapak langgar injak konstitusi putus nyata mkmk langgar kode etik berat kpu jongos jokowi lolos gibran bunyi hukum gibran sah wapres,negative
pesimis bentuk badan terima negara simak jelas lengkap ya,pesimis bentuk badan terima negara simak jelas lengkap,negative
periode perintah presiden jokowi tinggal sejmlh capai bangun infrastruktur dr muh basir m ketua pcnu kab pangkep nilai kerja presiden jokowi bidang bangun infrastruktur layak apresiasi gibran hots rp,periode perintah presiden jokowi tinggal sejmlh capai bangun infrastruktur muh basir ketua pcnu kab pangkep nilai kerja presiden jokowi bidang bangun infrastruktur layak apresiasi gibran hots,negative
wapres pilih gibran rakabuming aku peran presiden jokowi susun kabinet prabowo muka minimal cuci muka ketemu wartawan,wapres pilih gibran rakabuming aku peran presiden jokowi susun kabinet prabowo muka minimal cuci muka ketemu wartawan,negative
 penasaran erick thohir ketua timses prabowogibran ketua timses jokowimakruf amin pilpres kecewa pakdhe situ,penasaran erick thohir ketua timses prabowogibran ketua timses jokowimakruf amin pilpres kecewa pakdhe situ,negative
gibran titip prabowo misi estafet kuasa jokowi dgn prabowo boneka  notabene prabowo untung krn syahwat orang nomor nyata sisa usia telpon teman ina blg pilih anies tp,gibran titip prabowo misi estafet kuasa jokowi dgn prabowo boneka notabene prabowo untung krn syahwat orang nomor nyata sisa usia telpon teman ina blg pilih anies,negative
mas aw buka publik salut pada mas turut jokowi prabowogibran menang psi masuk parlemen tiga suara pdip turun milu,mas buka publik salut pada mas turut jokowi prabowogibran menang psi masuk parlemen tiga suara pdip turun milu,negative
pratikno menko pmk kabinet prabowo amat titip jokowi jaga gibran,pratikno menko pmk kabinet prabowo amat titip jokowi jaga gibran,negative
tulis aja gibran rakabuming raka bin jokowi kalo emang segitu mau ketawa takut alat negara cuy golkar mekanisme usul tambah jokowi nama gibran,tulis aja gibran rakabuming raka bin jokowi kalo emang segitu mau ketawa takut alat negara cuy golkar mekanisme usul tambah jokowi nama gibran,negative
kasar main,kasar main,negative
terkahir jokowi sdh lame duck selameducknya gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,terkahir jokowi sdh lame duck selameducknya gtgt jokowi hitung gibran ujung tanduk demo pekan lengkap tonton youtube ilc,negative
 lanjut roy suryo polisi rekawan jokowi ken tau sih rawan jokowi percaya bhw fufufafa gibran,lanjut roy suryo polisi rekawan jokowi ken tau sih rawan jokowi percaya bhw fufufafa gibran,negative
jokowi hadir lantik prabowogibran,jokowi hadir lantik prabowogibran,negative
