full_text,username,huruf_kecil,cleaning,tokenizing,filtering,stemming
Queen Bee Syndrome Iriana Penyebab Runtuhnya Kerajaan Joko Widodo Seharusnya pencalonan Gibran Rakabuming Raka sebagai Wakil Presiden Indonesia tidak perlu terjadi maka dengan begitu kejayaan Jokowi sebagai Raja Jawa masih bisa bertahan walau tak lagi bermahkotakan jabatan. https://t.co/v43mu85uLP,hnirankara,queen bee syndrome iriana penyebab runtuhnya kerajaan joko widodo seharusnya pencalonan gibran rakabuming raka sebagai wakil presiden indonesia tidak perlu terjadi maka dengan begitu kejayaan jokowi sebagai raja jawa masih bisa bertahan walau tak lagi bermahkotakan jabatan. https://t.co/v43mu85ulp,queen bee syndrome iriana penyebab runtuhnya kerajaan joko widodo seharusnya pencalonan gibran rakabuming raka sebagai wakil presiden indonesia tidak perlu terjadi maka dengan begitu kejayaan jokowi sebagai raja jawa masih bisa bertahan walau tak lagi bermahkotakan jabatan,"['queen', 'bee', 'syndrome', 'iriana', 'penyebab', 'runtuhnya', 'kerajaan', 'joko', 'widodo', 'seharusnya', 'pencalonan', 'gibran', 'rakabuming', 'raka', 'sebagai', 'wakil', 'presiden', 'indonesia', 'tidak', 'perlu', 'terjadi', 'maka', 'dengan', 'begitu', 'kejayaan', 'jokowi', 'sebagai', 'raja', 'jawa', 'masih', 'bisa', 'bertahan', 'walau', 'tak', 'lagi', 'bermahkotakan', 'jabatan']","['queen', 'bee', 'syndrome', 'iriana', 'penyebab', 'runtuhnya', 'kerajaan', 'joko', 'widodo', 'pencalonan', 'gibran', 'rakabuming', 'raka', 'wakil', 'presiden', 'indonesia', 'kejayaan', 'jokowi', 'raja', 'jawa', 'bertahan', 'bermahkotakan', 'jabatan']","['queen', 'bee', 'syndrome', 'iriana', 'sebab', 'runtuh', 'raja', 'joko', 'widodo', 'calon', 'gibran', 'rakabuming', 'raka', 'wakil', 'presiden', 'indonesia', 'jaya', 'jokowi', 'raja', 'jawa', 'tahan', 'mahkota', 'jabat']"
Gibran pulang ke Solo Jumat siang Jokowi malamnya. Minggu siang Gibran jemput PS di Bandara mereka berdua ke rumah Jokowi. Pertemuan tertutup di rumah pribadi Jokowi PS &amp; Gibran?! Info: DPC DPD Gerindra dilarang ikut krn PS dipanggil sebagai Menhan. #Nalar https://t.co/rAlDc3L5nt,ZAEffendy,gibran pulang ke solo jumat siang jokowi malamnya. minggu siang gibran jemput ps di bandara mereka berdua ke rumah jokowi. pertemuan tertutup di rumah pribadi jokowi ps &amp; gibran?! info: dpc dpd gerindra dilarang ikut krn ps dipanggil sebagai menhan. #nalar https://t.co/raldc3l5nt,gibran pulang ke solo jumat siang jokowi malamnya minggu siang gibran jemput ps di bandara mereka berdua ke rumah jokowi pertemuan tertutup di rumah pribadi jokowi ps amp gibran info dpc dpd gerindra dilarang ikut krn ps dipanggil sebagai menhan,"['gibran', 'pulang', 'ke', 'solo', 'jumat', 'siang', 'jokowi', 'malamnya', 'minggu', 'siang', 'gibran', 'jemput', 'ps', 'di', 'bandara', 'mereka', 'berdua', 'ke', 'rumah', 'jokowi', 'pertemuan', 'tertutup', 'di', 'rumah', 'pribadi', 'jokowi', 'ps', 'amp', 'gibran', 'info', 'dpc', 'dpd', 'gerindra', 'dilarang', 'ikut', 'krn', 'ps', 'dipanggil', 'sebagai', 'menhan']","['gibran', 'pulang', 'solo', 'jumat', 'siang', 'jokowi', 'malamnya', 'minggu', 'siang', 'gibran', 'jemput', 'ps', 'bandara', 'berdua', 'rumah', 'jokowi', 'pertemuan', 'tertutup', 'rumah', 'pribadi', 'jokowi', 'ps', 'amp', 'gibran', 'info', 'dpc', 'dpd', 'gerindra', 'dilarang', 'krn', 'ps', 'dipanggil', 'menhan']","['gibran', 'pulang', 'solo', 'jumat', 'siang', 'jokowi', 'malam', 'minggu', 'siang', 'gibran', 'jemput', 'ps', 'bandara', 'dua', 'rumah', 'jokowi', 'temu', 'tutup', 'rumah', 'pribadi', 'jokowi', 'ps', 'amp', 'gibran', 'info', 'dpc', 'dpd', 'gerindra', 'larang', 'krn', 'ps', 'panggil', 'menhan']"
 Mau lengser Jokowi masih resmikan Istana di IKN. Gibran saja yg tempati sambil jaga warisan bapaknya Bener kata Rocky Gerung 'Jokowi itu ga pernah tobat' Klo Fufufafa berkantor di IKN itu berarti beneran IKN tempat Jin buang anak spt yg Jokowi bilang Jokowi layak di penjara https://t.co/Jr4I5WO0Xk,AnKiiim_, mau lengser jokowi masih resmikan istana di ikn. gibran saja yg tempati sambil jaga warisan bapaknya bener kata rocky gerung 'jokowi itu ga pernah tobat' klo fufufafa berkantor di ikn itu berarti beneran ikn tempat jin buang anak spt yg jokowi bilang jokowi layak di penjara https://t.co/jr4i5wo0xk,mau lengser jokowi masih resmikan istana di ikn gibran saja yg tempati sambil jaga warisan bapaknya bener kata rocky gerung jokowi itu ga pernah tobat klo fufufafa berkantor di ikn itu berarti beneran ikn tempat jin buang anak spt yg jokowi bilang jokowi layak di penjara,"['mau', 'lengser', 'jokowi', 'masih', 'resmikan', 'istana', 'di', 'ikn', 'gibran', 'saja', 'yg', 'tempati', 'sambil', 'jaga', 'warisan', 'bapaknya', 'bener', 'kata', 'rocky', 'gerung', 'jokowi', 'itu', 'ga', 'pernah', 'tobat', 'klo', 'fufufafa', 'berkantor', 'di', 'ikn', 'itu', 'berarti', 'beneran', 'ikn', 'tempat', 'jin', 'buang', 'anak', 'spt', 'yg', 'jokowi', 'bilang', 'jokowi', 'layak', 'di', 'penjara']","['lengser', 'jokowi', 'resmikan', 'istana', 'ikn', 'gibran', 'yg', 'tempati', 'jaga', 'warisan', 'bapaknya', 'bener', 'rocky', 'gerung', 'jokowi', 'ga', 'tobat', 'klo', 'fufufafa', 'berkantor', 'ikn', 'beneran', 'ikn', 'jin', 'buang', 'anak', 'spt', 'yg', 'jokowi', 'bilang', 'jokowi', 'layak', 'penjara']","['lengser', 'jokowi', 'resmi', 'istana', 'ikn', 'gibran', 'yg', 'tempat', 'jaga', 'waris', 'bapak', 'bener', 'rocky', 'gerung', 'jokowi', 'ga', 'tobat', 'klo', 'fufufafa', 'kantor', 'ikn', 'beneran', 'ikn', 'jin', 'buang', 'anak', 'spt', 'yg', 'jokowi', 'bilang', 'jokowi', 'layak', 'penjara']"
#TempoThread Dalam momen mendebarkan menjelang pensiun Jokowi terlihat seperti pengacara yang berusaha menghapus bukti agar Gibran tidak terlibat dengan jejak Fufufafa. Sepertinya strategi hilang jejak ini jadi tren baru di Istana A Thread https://t.co/VcAutfXdwy,tempodotco,#tempothread dalam momen mendebarkan menjelang pensiun jokowi terlihat seperti pengacara yang berusaha menghapus bukti agar gibran tidak terlibat dengan jejak fufufafa. sepertinya strategi hilang jejak ini jadi tren baru di istana a thread https://t.co/vcautfxdwy,dalam momen mendebarkan menjelang pensiun jokowi terlihat seperti pengacara yang berusaha menghapus bukti agar gibran tidak terlibat dengan jejak fufufafa sepertinya strategi hilang jejak ini jadi tren baru di istana a thread,"['dalam', 'momen', 'mendebarkan', 'menjelang', 'pensiun', 'jokowi', 'terlihat', 'seperti', 'pengacara', 'yang', 'berusaha', 'menghapus', 'bukti', 'agar', 'gibran', 'tidak', 'terlibat', 'dengan', 'jejak', 'fufufafa', 'sepertinya', 'strategi', 'hilang', 'jejak', 'ini', 'jadi', 'tren', 'baru', 'di', 'istana', 'a', 'thread']","['momen', 'mendebarkan', 'menjelang', 'pensiun', 'jokowi', 'pengacara', 'berusaha', 'menghapus', 'bukti', 'gibran', 'terlibat', 'jejak', 'fufufafa', 'strategi', 'hilang', 'jejak', 'tren', 'istana', 'a', 'thread']","['momen', 'debar', 'jelang', 'pensiun', 'jokowi', 'acara', 'usaha', 'hapus', 'bukti', 'gibran', 'libat', 'jejak', 'fufufafa', 'strategi', 'hilang', 'jejak', 'tren', 'istana', 'a', 'thread']"
MAHASISWA JAKET KUNING KEPUNG DPR TOLAK GIBRAN DAN ADILI JOKOWI https://t.co/0AdykBoWnv https://t.co/1tmw7xGKNC,herculep638,mahasiswa jaket kuning kepung dpr tolak gibran dan adili jokowi https://t.co/0adykbownv https://t.co/1tmw7xgknc,mahasiswa jaket kuning kepung dpr tolak gibran dan adili jokowi,"['mahasiswa', 'jaket', 'kuning', 'kepung', 'dpr', 'tolak', 'gibran', 'dan', 'adili', 'jokowi']","['mahasiswa', 'jaket', 'kuning', 'kepung', 'dpr', 'tolak', 'gibran', 'adili', 'jokowi']","['mahasiswa', 'jaket', 'kuning', 'kepung', 'dpr', 'tolak', 'gibran', 'adil', 'jokowi']"
Jokowi harus mundur dan Gibran wajib mundur karena Gibran Wapres Ilegal ! #JokowiHarusDiadili #JokowiHarusDiadili https://t.co/OVZxyWhsKk,Freed0mland5151,jokowi harus mundur dan gibran wajib mundur karena gibran wapres ilegal ! #jokowiharusdiadili #jokowiharusdiadili https://t.co/ovzxywhskk,jokowi harus mundur dan gibran wajib mundur karena gibran wapres ilegal,"['jokowi', 'harus', 'mundur', 'dan', 'gibran', 'wajib', 'mundur', 'karena', 'gibran', 'wapres', 'ilegal']","['jokowi', 'mundur', 'gibran', 'wajib', 'mundur', 'gibran', 'wapres', 'ilegal']","['jokowi', 'mundur', 'gibran', 'wajib', 'mundur', 'gibran', 'wapres', 'ilegal']"
2 periode Jokowi 2 periode Prabowo 2 periode Gibran Oke gas oke gas https://t.co/vR4yQFWfj4,ARSIPAJA,2 periode jokowi 2 periode prabowo 2 periode gibran oke gas oke gas https://t.co/vr4yqfwfj4,periode jokowi  periode prabowo  periode gibran oke gas oke gas,"['periode', 'jokowi', 'periode', 'prabowo', 'periode', 'gibran', 'oke', 'gas', 'oke', 'gas']","['periode', 'jokowi', 'periode', 'prabowo', 'periode', 'gibran', 'oke', 'gas', 'oke', 'gas']","['periode', 'jokowi', 'periode', 'prabowo', 'periode', 'gibran', 'oke', 'gas', 'oke', 'gas']"
*Keluarga Jokowi meminta Gibran untuk mundur gak salah nih https://t.co/TW3xGz9UUA,MayaA62580468,*keluarga jokowi meminta gibran untuk mundur gak salah nih https://t.co/tw3xgz9uua,keluarga jokowi meminta gibran untuk mundur gak salah nih,"['keluarga', 'jokowi', 'meminta', 'gibran', 'untuk', 'mundur', 'gak', 'salah', 'nih']","['keluarga', 'jokowi', 'gibran', 'mundur', 'gak', 'salah', 'nih']","['keluarga', 'jokowi', 'gibran', 'mundur', 'gak', 'salah', 'nih']"
Yang katanya Prabowo diundang sebagai Menhan bukan sebagai Presiden terpilih dan Gibran sebagai rakyat biasa bukan wapres terpilih Tapi Jokowi mematahkan semua (BOHONG). Antara Penjilat dan yang dijilat kok ga ada kompak2nya sih? https://t.co/xmKTbkEMip,JhonSitorus_18,yang katanya prabowo diundang sebagai menhan bukan sebagai presiden terpilih dan gibran sebagai rakyat biasa bukan wapres terpilih tapi jokowi mematahkan semua (bohong). antara penjilat dan yang dijilat kok ga ada kompak2nya sih? https://t.co/xmktbkemip,yang katanya prabowo diundang sebagai menhan bukan sebagai presiden terpilih dan gibran sebagai rakyat biasa bukan wapres terpilih tapi jokowi mematahkan semua bohong antara penjilat dan yang dijilat kok ga ada kompaknya sih,"['yang', 'katanya', 'prabowo', 'diundang', 'sebagai', 'menhan', 'bukan', 'sebagai', 'presiden', 'terpilih', 'dan', 'gibran', 'sebagai', 'rakyat', 'biasa', 'bukan', 'wapres', 'terpilih', 'tapi', 'jokowi', 'mematahkan', 'semua', 'bohong', 'antara', 'penjilat', 'dan', 'yang', 'dijilat', 'kok', 'ga', 'ada', 'kompaknya', 'sih']","['prabowo', 'diundang', 'menhan', 'presiden', 'terpilih', 'gibran', 'rakyat', 'wapres', 'terpilih', 'jokowi', 'mematahkan', 'bohong', 'penjilat', 'dijilat', 'ga', 'kompaknya', 'sih']","['prabowo', 'undang', 'menhan', 'presiden', 'pilih', 'gibran', 'rakyat', 'wapres', 'pilih', 'jokowi', 'patah', 'bohong', 'jilat', 'jilat', 'ga', 'kompak', 'sih']"
// MAHASISWA TANGGAL 14 OKTOBER TURUN TUNTUTANNYA CUMA SATU: ADILI JOKOWI! #FaizalAssegaf // #ILC &gt;&gt; JOKOWI MENGHITUNG HARI GIBRAN DI UJUNG TANDUK. DEMO BESAR PEKAN DEPAN MAU APA?? // SELENGKAPNYA TONTON SEKARANG YOUTUBE ILC https://t.co/N41rgGNcM1 https://t.co/MXy5iYH7jf,ILCTalkshow,// mahasiswa tanggal 14 oktober turun tuntutannya cuma satu: adili jokowi! #faizalassegaf // #ilc &gt;&gt; jokowi menghitung hari gibran di ujung tanduk. demo besar pekan depan mau apa?? // selengkapnya tonton sekarang youtube ilc https://t.co/n41rggncm1 https://t.co/mxy5iyh7jf,mahasiswa tanggal  oktober turun tuntutannya cuma satu adili jokowi    gtgt jokowi menghitung hari gibran di ujung tanduk demo besar pekan depan mau apa  selengkapnya tonton sekarang youtube ilc,"['mahasiswa', 'tanggal', 'oktober', 'turun', 'tuntutannya', 'cuma', 'satu', 'adili', 'jokowi', 'gtgt', 'jokowi', 'menghitung', 'hari', 'gibran', 'di', 'ujung', 'tanduk', 'demo', 'besar', 'pekan', 'depan', 'mau', 'apa', 'selengkapnya', 'tonton', 'sekarang', 'youtube', 'ilc']","['mahasiswa', 'tanggal', 'oktober', 'turun', 'tuntutannya', 'adili', 'jokowi', 'gtgt', 'jokowi', 'menghitung', 'gibran', 'ujung', 'tanduk', 'demo', 'pekan', 'selengkapnya', 'tonton', 'youtube', 'ilc']","['mahasiswa', 'tanggal', 'oktober', 'turun', 'tuntut', 'adil', 'jokowi', 'gtgt', 'jokowi', 'hitung', 'gibran', 'ujung', 'tanduk', 'demo', 'pekan', 'lengkap', 'tonton', 'youtube', 'ilc']"
